KOfam	KOfam_ACC	Pfam	Pfam_ACC	KEGG_Module_ACC	KEGG_Class	gene.short	Category
MSHA biogenesis protein MshN	K12284	Tetratricopeptide repeat	PF14559.8			MSHA.MshN	MSHA.pili
MSHA biogenesis protein MshN	K12284	Tetratricopeptide repeat	PF14559.9			MSHA.MshN	MSHA.pili
MSHA biogenesis protein MshN	K12284	TPR repeat	PF13414.9			MSHA.MshN	MSHA.pili
MSHA biogenesis protein MshN	K12284	Tetratricopeptide repeat	PF07719.20			MSHA.MshN	MSHA.pili
MSHA biogenesis protein MshO	K12285	Prokaryotic N-terminal methylation motif	PF07963.14			MSHA.MshO	MSHA.pili
MSHA biogenesis protein MshO	K12285	Prokaryotic N-terminal methylation motif	PF07963.15			MSHA.MshO	MSHA.pili
MSHA biogenesis protein MshP	K12286					MSHA.MshP	MSHA.pili
MSHA biogenesis protein MshQ	K12287					MSHA.MshQ	MSHA.pili
MSHA biogenesis protein MshQ	K12287	H-type lectin domain	PF09458.12			MSHA.MshQ	MSHA.pili
MSHA biogenesis protein MshQ	K12287	Family of unknown function (DUF6701)	PF20419.1			MSHA.MshQ	MSHA.pili
MSHA biogenesis protein MshQ	K12287	Concanavalin A-like lectin/glucanases superfamily	PF13385.8			MSHA.MshQ	MSHA.pili
2-dehydro-3-deoxy-phosphogluconate aldolase [EC:4.1.2.14]	K17463	KDGP aldolase	PF07071.13	M00631|M00061	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism|Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	mucin.dgaF	mucin.bile.degradation
2-dehydro-3-deoxy-phosphogluconate aldolase [EC:4.1.2.14]	K17463	KDGP aldolase	PF07071.14	M00631|M00061	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism|Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	mucin.dgaF	mucin.bile.degradation
2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]	K01625	KDPG and KHG aldolase	PF01081.21	M00008|M00308|M00631|M00061	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism|Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism|Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism|Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	mucin.eda	mucin.bile.degradation
2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]	K01625	KDPG and KHG aldolase	PF01081.22	M00008|M00308|M00631|M00061	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism|Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism|Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism|Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	mucin.eda	mucin.bile.degradation
2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	K00874	pfkB family carbohydrate kinase	PF00294.26	M00308|M00631|M00061	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism|Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism|Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	mucin.kdgK	mucin.bile.degradation
2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	K00874	pfkB family carbohydrate kinase	PF00294.27	M00308|M00631|M00061	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism|Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism|Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	mucin.kdgK	mucin.bile.degradation
glucuronate isomerase [EC:5.3.1.12]	K01812	Glucuronate isomerase	PF02614.16	M00631|M00061	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism|Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	mucin.uxaC	mucin.bile.degradation
glucuronate isomerase [EC:5.3.1.12]	K01812	Glucuronate isomerase	PF02614.17	M00631|M00061	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism|Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	mucin.uxaC	mucin.bile.degradation
mannonate dehydratase [EC:4.2.1.8]	K01686	D-mannonate dehydratase (UxuA)	PF03786.15	M00061	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	mucin.uxuA	mucin.bile.degradation
mannonate dehydratase [EC:4.2.1.8]	K01686	D-mannonate dehydratase (UxuA)	PF03786.16	M00061	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	mucin.uxuA	mucin.bile.degradation
mannonate dehydratase [EC:4.2.1.8]	K08323	Enolase C-terminal domain-like	PF13378.8	M00061	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	mucin.uxuA	mucin.bile.degradation
mannonate dehydratase [EC:4.2.1.8]	K08323	Enolase C-terminal domain-like	PF13378.9	M00061	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	mucin.uxuA	mucin.bile.degradation
fructuronate reductase [EC:1.1.1.57]	K00040	Mannitol dehydrogenase C-terminal domain	PF08125.15	M00061	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	mucin.uxuB	mucin.bile.degradation
fructuronate reductase [EC:1.1.1.57]	K00040	Mannitol dehydrogenase C-terminal domain	PF08125.16	M00061	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	mucin.uxuB	mucin.bile.degradation
hemolysin	K10948	Leukocidin/Hemolysin toxin family	PF07968.15	M00850	Signature modules; Gene set; Pathogenicity	path.cholera.hemolysin	pathogenicity
hemolysin	K10948	Hemolytic toxin N terminal	PF12563.11	M00850	Signature modules; Gene set; Pathogenicity	path.cholera.hemolysin	pathogenicity
hemolysin	K10948	Leukocidin/Hemolysin toxin family	PF07968.14	M00850	Signature modules; Gene set; Pathogenicity	path.cholera.hemolysin	pathogenicity
hemolysin	K10948			M00850	Signature modules; Gene set; Pathogenicity	path.cholera.hemolysin	pathogenicity
toxin YhaV [EC:3.1.-.-]	K19155	RTX toxin acyltransferase family	PF02794.19	M00575	Signature modules; Gene set; Pathogenicity	path.cholera.RTX	pathogenicity
toxin YhaV [EC:3.1.-.-]	K19155	"Toxin with endonuclease activity, of toxin-antitoxin system"	PF11663.11			path.cholera.RTX	pathogenicity
cytolysin-activating lysine-acyltransferase [EC:2.3.1.-]	K07389	RTX toxin acyltransferase family	PF02794.18	M00575	Signature modules; Gene set; Pathogenicity	path.cholera.RTX	pathogenicity
cytolysin-activating lysine-acyltransferase [EC:2.3.1.-]	K07389	RTX toxin acyltransferase family	PF02794.19	M00575	Signature modules; Gene set; Pathogenicity	path.cholera.RTX	pathogenicity
RTX toxin RtxA	K10953	RtxA repeat	PF07634.13	M00850	Signature modules; Gene set; Pathogenicity	path.cholera.RtxA	pathogenicity
RTX toxin RtxA	K10953	RtxA repeat	PF07634.14	M00850	Signature modules; Gene set; Pathogenicity	path.cholera.RtxA	pathogenicity
RTX toxin RtxA	K10953	Actin cross-linking domain	PF16671.8	M00850	Signature modules; Gene set; Pathogenicity	path.cholera.RtxA	pathogenicity
toxin coregulated pilus biosynthesis protein I	K10961	Methyl-accepting chemotaxis protein (MCP) signalling domain	PF00015.23	M00852	Signature modules; Gene set; Pathogenicity	path.cholera.tcpI	pathogenicity
toxin coregulated pilus biosynthesis protein I	K10961	Methyl-accepting chemotaxis protein (MCP) signalling domain	PF00015.24	M00852	Signature modules; Gene set; Pathogenicity	path.cholera.tcpI	pathogenicity
toxin coregulated pilus biosynthesis protein P	K10920	"Transcriptional regulatory protein, C terminal"	PF00486.31	M00852	Signature modules; Gene set; Pathogenicity	path.cholera.tcpP	pathogenicity
thermostable direct hemolysin	K11019	Vibrio thermostable direct hemolysin	PF03347.16			path.cholera.tdh	pathogenicity
thermolabile hemolysin	K11018	GDSL-like Lipase/Acylhydrolase	PF00657.24	M00850	Signature modules; Gene set; Pathogenicity	path.cholera.tlh	pathogenicity
thermolabile hemolysin	K11018	GDSL-like Lipase/Acylhydrolase	PF00657.25	M00850	Signature modules; Gene set; Pathogenicity	path.cholera.tlh	pathogenicity
zona occludens toxin	K10954	Zonular occludens toxin (Zot)	PF05707.15	M00850	Signature modules; Gene set; Pathogenicity	path.cholera.Zot	pathogenicity
"outer membrane protein, adhesin transport system"	K12543	Outer membrane efflux protein	PF02321.20	M00575|M00696|M00697	Signature modules; Gene set; Pathogenicity|Signature modules; Gene set; Drug resistance|Signature modules; Gene set; Drug resistance	path.T1SS	pathogenicity
"outer membrane protein, adhesin transport system"	K12543	Outer membrane efflux protein	PF02321.21	M00575|M00696|M00697	Signature modules; Gene set; Pathogenicity|Signature modules; Gene set; Drug resistance|Signature modules; Gene set; Drug resistance	path.T1SS	pathogenicity
outer membrane protein	K12340	Outer membrane efflux protein	PF02321.21	M00575|M00696|M00697	Signature modules; Gene set; Pathogenicity|Signature modules; Gene set; Drug resistance|Signature modules; Gene set; Drug resistance	path.T1SS	pathogenicity
outer membrane protein	K12340	Outer membrane efflux protein	PF02321.20	M00575|M00696|M00697	Signature modules; Gene set; Pathogenicity|Signature modules; Gene set; Drug resistance|Signature modules; Gene set; Drug resistance	path.T1SS	pathogenicity
type IV secretion system protein VirB11 [EC:7.4.2.8]	K03196	Type II/IV secretion system protein	PF00437.22	M00564	Signature modules; Gene set; Pathogenicity	path.T4SS	pathogenicity
"trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]"	K06998	Phenazine biosynthesis-like protein	PF02567.18	M00835	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds	pyocyanine.phzF	pyocyanine
"trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]"	K06998	Phenazine biosynthesis-like protein	PF02567.19	M00835	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds	pyocyanine.phzF	pyocyanine
"MFS transporter, ENTS family, enterobactin (siderophore) exporter"	K08225	Transmembrane secretion effector	PF05977.16			siderophore.entS	iron.aquisition
