feature	value	factor	gene.name	anno.figure	robust
NC_059446.1+LOC106605692	-0.417150467380216	Factor7	apolipoprotein A-IV	apolipoprotein	Yes
NC_059451.1+LOC106560454	-0.278513939925483	Factor7	calcium-activated chloride channel regulator 1-like		Yes
NC_059460.1+LOC106578314	-0.294846275897485	Factor7	angiotensin-converting enzyme-like	signaling	Yes
NC_059458.1+LOC106576106	-0.20393218780147	Factor7	ladderlectin	immune	Yes
NC_059455.1+mpz	-0.232333297472862	Factor7	myelin protein zero		Yes
NC_059458.1+LOC106575599	-0.216539227364553	Factor7	tensin	signaling	No
NC_059443.1+LOC106588082	-0.365311312376989	Factor7	group XIIB secretory phospholipase A2-like protein	lipid	Yes
NC_059461.1+LOC106580183	-0.331121707058699	Factor7	cysteine dioxygenase type 1-like	taurine	Yes
NC_059443.1+LOC106594168	-0.288640826914009	Factor7	cytochrome P450 3A27	heme	Yes
NC_059462.1+LOC106581666	0.206490751944015	Factor7	collagen alpha-3(VI) chain	ECM	Yes
NC_059468.1+LOC106588714	-0.320913319051477	Factor7	adseverin	ECM	Yes
NC_059450.1+LOC106611098	0.217386345036347	Factor7	olfactomedin-4		No
NC_059450.1+LOC106612854	-0.266505847580099	Factor7	solute carrier family 13 member 2-like		Yes
NC_059459.1+LOC106577395	-0.207499851084186	Factor7	DNA damage-inducible transcript 4 protein-like	signaling	Yes
NC_059456.1+LOC106572749	-0.427099869487268	Factor7	tensin-2-like	signaling	Yes
NC_059444.1+LOC106601915	-0.262734849207945	Factor7	suppressor of cytokine signaling 3-like	immune	Yes
NC_059445.1+glb1	-0.209587038409659	Factor7	galactosidase, beta 1		Yes
NC_059444.1+LOC106600490	-0.225179644392353	Factor7	myelin protein P0		Yes
NC_059469.1+asah2	-0.242420236115218	Factor7	N-acylsphingosine amidohydrolase 2		Yes
NC_059450.1+dusp1	-0.341656257522714	Factor7	dual specificity phosphatase 1	signaling	Yes
NC_059465.1+klf9	-0.219407836545309	Factor7	Kruppel-like factor 9		Yes
NC_059455.1+LOC106570128	-0.32831707325194	Factor7	apolipoprotein Eb	apolipoprotein	Yes
NC_059444.1+LOC106593002	0.210747089949539	Factor7	monocarboxylate transporter 7-like	taurine	Yes
NC_059455.1+LOC106570356	-0.330538512132051	Factor7	serine/threonine-protein kinase Sgk1		Yes
NC_059467.1+crld2	-0.275410094262456	Factor7	Cysteine-rich secretory protein LCCL domain-containing 2		Yes
NC_059450.1+LOC106613249	-0.258678817617852	Factor7	pentraxin-related protein PTX3	immune	Yes
NC_059442.1+LOC106612488	-0.34909753602451	Factor7	chitin synthase		Yes
NC_059450.1+LOC106612711	-0.220247918684145	Factor7	latent-transforming growth factor beta-binding protein 4	immune	Yes
NC_059453.1+LOC123725541	-0.273257008361598	Factor7	uncharacterized LOC123725541		No
NC_059469.1+LOC106589894	-0.222856707236567	Factor7	G-protein coupled receptor family C group 5 member C		Yes
NC_059468.1+LOC106589109	-0.221032648236438	Factor7	alpha-L-fucosidase 1		Yes
NC_059459.1+scdb	-0.298291606470131	Factor7	stearoyl-CoA desaturase b	lipid	Yes
NC_059444.1+LOC123741740	-0.360909595835334	Factor7	lysoplasmalogenase-like		Yes
NC_059443.1+LOC106590330	-0.218952080872258	Factor7	heme oxygenase	heme	Yes
NC_059454.1+LOC106567965	-0.2216286016643	Factor7	uncharacterized LOC106567965		Yes
NC_059451.1+elavl4	-0.240522474990534	Factor7	ELAV like neuron-specific RNA binding protein 4		Yes
NC_059457.1+alpi.2	-0.258810049436406	Factor7	alkaline phosphatase, intestinal, tandem duplicate 2		Yes
NC_059459.1+sb:cb1058	-0.265298902573485	Factor7	uncharacterized LOC106578097		Yes
NC_059449.1+LOC106610225	-0.245153514838875	Factor7	endothelin receptor type B	signaling	Yes
NC_059457.1+LOC106573930	-0.294350353034373	Factor7	growth arrest and DNA damage-inducible protein GADD45 beta		Yes
NC_059454.1+LOC106567727	-0.226180070806282	Factor7	zinc finger and BTB domain-containing protein 16-A		Yes
NC_059445.1+LOC106603518	-0.271303661130772	Factor7	clathrin heavy chain 1		Yes
NC_059447.1+ctgf	-0.248504692931652	Factor7	connective tissue growth factor	signaling	Yes
NC_059454.1+tns2a	-0.260999655815927	Factor7	tensin 2a	signaling	Yes
NC_059447.1+LOC106606413	-0.426726440748246	Factor7	lysoplasmalogenase-like		Yes
NC_059452.1+LOC106587327	-0.264877784420531	Factor7	cysteine-rich secretory protein LCCL domain-containing 2-like		Yes
NC_059452.1+LOC106563633	-0.234007471158792	Factor7	organic solute transporter subunit alpha-like	lipid	Yes
NC_059442.1+LOC106565855	-0.257493599137294	Factor7	C-C motif chemokine 19	immune	Yes
NC_059445.1+LOC106610223	-0.2226727850889	Factor7	endothelin receptor type B	signaling	Yes
NC_059443.1+LOC106582649	0.252579165771269	Factor7	uncharacterized LOC106582649		Yes
NC_059453.1+LOC106590030	-0.227126811093164	Factor7	heme oxygenase	heme	Yes
NC_059467.1+LOC106587816	-0.206517180904499	Factor7	lactadherin-like		Yes
NC_059457.1+LOC100195512	0.252277778415532	Factor7	Follistatin-related protein 1		Yes
NC_059442.1+1433b	-0.290993463716791	Factor7	14-3-3 protein beta/alpha	signaling	No
NW_025550366.1+LOC123739324	-0.226847149186055	Factor7	18S ribosomal RNA		Yes
NC_059447.1+myo6a	-0.299007339319153	Factor7	myosin VIa	ECM	Yes
NC_059459.1+t4s5	-0.308988650119301	Factor7	Transmembrane 4 L6 family member 5		Yes
NC_059453.1+LOC106565905	0.227514410043006	Factor7	angiotensin II receptor-associated protein	signaling	Yes
NC_059444.1+LOC106602055	-0.214001276678011	Factor7	retinoid-inducible serine carboxypeptidase-like		Yes
NC_059455.1+LOC100136469	0.244764925048197	Factor7	anterior gradient-2-like protein 2		Yes
NC_059450.1+LOC100196094	-0.229161494896461	Factor7	dipeptidyl peptidase 1	immune	Yes
NC_059459.1+muc3a	-0.25599616374917	Factor7	mucin 3A, cell surface associated		Yes
NC_059446.1+LOC106605689	-0.255216921953405	Factor7	apolipoprotein Eb	apolipoprotein	Yes
NC_059465.1+plcxd3	-0.217772003776093	Factor7	phosphatidylinositol-specific phospholipase C, X domain containing 3	lipid	Yes
NC_059468.1+agr2	0.231026790452069	Factor7	anterior gradient 2		Yes
NC_059447.1+LOC106606429	-0.215474659380854	Factor7	suppressor of cytokine signaling 3-like	immune	Yes
NC_059445.1+LOC106602715	-0.271496712910398	Factor7	microsomal triglyceride transfer protein-like	lipid	Yes
NC_059465.1+npc1l1	-0.296612600500102	Factor7	NPC1-like 1	lipid	Yes
NC_059467.1+LOC106587204	-0.27680670464919	Factor7	pro-adrenomedullin	immune	Yes
